#{"t_start": 1770463446.4266129, "env_id": "None"}
r,l,t
-846.2,128,121.254634
-1698.6,128,121.513702
-1084.5,128,121.767694
-810.9,128,122.042039
-906.9,128,122.298897
-490.1,128,122.565755
-287.3,128,122.821095
-453.3,128,123.089759
-540.6,128,123.349168
-934.6,128,123.619093
-875.0,128,123.877692
-843.7,128,124.149174
-912.5,128,124.414501
-704.1,128,124.670377
-845.5,128,124.926822
-1204.8,128,125.185079
-2319.5,128,125.444348
-872.0,128,125.69176
-1387.4,128,125.936299
-1350.0,128,126.18054
-444.0,128,126.435353
-667.1,128,126.697198
-971.1,128,126.952261
-1755.8,128,127.21759
-827.9,128,127.473537
-1055.7,128,127.734159
-971.8,128,127.973967
-1327.1,128,128.220113
-1323.8,128,128.455854
-2307.7,128,128.703658
-1042.7,128,128.944135
-1061.3,128,129.188671
-1914.9,128,129.43544
-1470.5,128,129.682488
-763.2,128,129.944716
-966.3,128,130.20578
-945.1,128,130.465087
-467.4,128,130.72437
-817.5,128,130.964986
-310.1,128,131.214198
-1463.0,128,131.452665
-1205.3,128,131.688267
-631.0,128,131.921492
-846.9,128,132.166641
-1270.6,128,132.404038
-675.0,128,132.656685
-670.4,128,132.914564
-910.7,128,133.183721
-853.0,128,133.441583
-1212.9,128,133.696632
-775.6,128,133.953121
-1506.2,128,134.227757
-1229.7,128,134.487213
-445.0,128,134.741354
-1899.6,128,134.991999
-1258.3,128,135.257396
-1357.7,128,135.510109
-696.3,128,135.771017
-868.8,128,136.018021
-703.6,128,136.271592
-841.4,128,136.513969
-1061.0,128,136.737776
-905.9,128,136.943375
-1025.6,128,137.15033
-919.1,128,137.35553
-677.0,128,137.600463
-764.5,128,137.872909
-997.1,128,138.175435
-521.9,128,138.577363
-827.9,128,138.9277
-1267.3,128,139.139514
-758.0,128,139.326908
-720.6,128,139.536728
-755.2,128,139.717875
-643.5,128,139.898325
-415.8,128,140.107702
-451.2,128,140.284911
-414.6,128,140.461492
-609.7,128,140.646785
-810.8,128,140.843786
-570.0,128,141.029601
-513.0,128,141.212773
-668.8,128,141.4407
-213.8,128,141.638387
-241.4,128,141.821293
-351.0,128,142.020606
-685.9,128,142.208092
-243.3,128,142.417294
-592.9,128,142.608392
-365.0,128,142.818441
-348.4,128,143.055715
-456.4,128,143.31121
-438.7,128,143.549616
-508.5,128,143.74979
-712.1,128,143.932371
-336.0,128,144.124085
-359.1,128,144.304761
-397.9,128,144.490593
-374.0,128,144.672911
-415.5,128,144.885829
-494.5,128,145.087276
-484.1,128,145.272048
-366.6,128,145.470826
-526.4,128,145.670915
-343.9,128,145.860869
-374.5,128,146.052966
-306.4,128,146.278083
-390.3,128,146.546546
-284.2,128,146.814375
-363.2,128,147.068508
-388.3,128,147.310062
-550.4,128,147.573837
-367.2,128,147.764324
-340.2,128,147.949459
-348.3,128,148.122616
-338.7,128,148.29684
-334.0,128,148.468432
-354.8,128,148.638444
-415.4,128,148.817464
-294.0,128,149.000271
-310.6,128,149.170608
-285.4,128,149.420754
-318.7,128,149.663929
-745.3,128,149.91134
-295.8,128,150.129836
-285.5,128,150.316271
-363.7,128,150.504628
-338.2,128,150.699976
-379.4,128,150.889617
-360.2,128,151.072124
-200.2,128,151.255761
-330.2,128,151.446875
-333.6,128,151.636499
-329.4,128,151.825467
-390.0,128,152.016366
-635.3,128,152.210629
-426.5,128,152.397698
-341.4,128,152.586069
-377.8,128,152.774211
-601.8,128,152.968869
-309.1,128,153.155118
-308.4,128,153.342556
-280.8,128,153.534707
-511.9,128,153.734454
-749.3,128,153.931852
-317.7,128,154.131157
-520.2,128,154.361545
-465.3,128,154.636416
-773.7,128,154.862723
-518.9,128,155.07491
-472.0,128,155.294455
-829.3,128,155.523658
-334.7,128,155.751617
-432.2,128,155.997884
-662.0,128,156.250285
-263.4,128,156.504869
-470.0,128,156.765997
-651.0,128,157.034314
-492.6,128,157.308183
-273.4,128,157.577292
-426.1,128,157.840744
-237.8,128,158.10043
-504.8,128,158.364179
-264.0,128,158.63136
-274.4,128,158.896451
-393.6,128,159.157217
-258.4,128,159.416662
-450.2,128,159.688269
-399.6,128,159.951869
-448.0,128,160.216528
-519.2,128,160.484092
-439.8,128,160.765078
-505.0,128,161.033698
-433.6,128,161.297879
-290.6,128,161.56257
-303.4,128,161.841291
-584.2,128,162.106819
-374.6,128,162.367205
-806.6,128,162.630726
-228.7,128,162.900801
-186.7,128,163.16072
-356.5,128,163.425378
-277.5,128,163.687566
-403.4,128,163.960267
-411.6,128,164.21176
-298.3,128,164.482547
-252.3,128,164.798783
-261.9,128,165.110746
-318.7,128,165.383809
-344.7,128,165.66569
-230.8,128,165.941112
-513.1,128,166.218526
-908.7,128,166.492761
-250.0,128,166.75453
-346.8,128,167.01908
-353.2,128,167.290023
-266.0,128,167.549153
-299.0,128,167.808788
-312.7,128,168.072306
-312.7,128,168.341381
-348.6,128,168.605752
-405.4,128,168.864668
-365.2,128,169.124258
-355.8,128,169.388971
-365.0,128,169.66572
-345.2,128,169.931681
-348.8,128,170.191756
-493.2,128,170.459604
-387.8,128,170.72983
-355.1,128,170.992795
-435.6,128,171.262868
-489.9,128,171.529657
-562.6,128,171.791302
-885.7,128,172.057172
-920.2,128,172.320965
-576.7,128,172.598312
-760.5,128,172.863491
-881.2,128,173.125432
-751.7,128,173.378239
-560.0,128,173.639344
-944.3,128,173.905096
-769.2,128,174.169766
-1027.8,128,174.440855
-1063.4,128,174.708487
-1172.0,128,174.96262
-953.7,128,175.232106
-1258.7,128,175.504053
-1093.6,128,175.786153
-941.3,128,176.051671
-1053.4,128,176.322495
-817.5,128,176.587799
-638.5,128,176.850303
-1162.5,128,177.115732
-782.4,128,177.37589
-1174.5,128,177.639493
-1053.6,128,177.903463
-669.0,128,178.163715
-1137.0,128,178.428118
-1493.6,128,178.693624
-1763.8,128,178.962247
-2141.2,128,179.224017
-1146.2,128,179.493743
-936.4,128,179.793777
-684.6,128,180.087781
-783.4,128,180.348548
-949.8,128,180.617562
-938.2,128,180.884575
-852.0,128,181.150574
-974.8,128,181.413503
-1951.2,128,181.677259
-2586.2,128,181.938825
-1174.5,128,182.201109
-839.7,128,182.463706
-977.3,128,182.726986
-1069.1,128,182.990059
-971.7,128,183.258379
-749.0,128,183.515979
-737.6,128,183.770391
-948.6,128,184.034645
-1161.1,128,184.301842
-1026.7,128,184.566758
-862.3,128,184.832476
-1032.7,128,185.096831
-848.4,128,185.362566
-682.7,128,185.632363
-753.9,128,185.896762
-839.3,128,186.159296
-1115.5,128,186.425021
-1157.2,128,186.677749
-951.4,128,186.921719
-817.6,128,187.169293
-674.3,128,187.430964
-929.2,128,187.689569
-651.4,128,187.951294
-958.3,128,188.213474
-902.1,128,188.479163
-954.3,128,188.722265
-683.4,128,188.966327
-1227.9,128,189.211595
-1153.4,128,189.461483
-1003.6,128,189.707481
-980.6,128,189.950726
-1077.0,128,190.194183
-1278.3,128,190.447974
-1246.0,128,190.702593
-810.5,128,190.966748
-1745.0,128,191.218927
-815.5,128,191.470646
-1019.8,128,191.710516
-1262.3,128,191.935617
-1701.3,128,192.151408
-3157.1,128,192.383518
-2176.5,128,192.588547
-1761.7,128,192.78771
-2191.4,128,193.002083
-1822.0,128,193.217093
-1614.6,128,193.422093
-3379.0,128,193.625365
-3182.4,128,193.831727
-2824.5,128,194.044673
-630.4,128,194.246966
-1268.0,128,194.455065
-449.4,128,194.691176
-1584.7,128,194.93774
-1509.9,128,195.170197
-837.1,128,195.373705
-961.8,128,195.58116
-685.3,128,195.788362
-688.9,128,195.991138
-1084.6,128,196.192502
-967.3,128,196.383104
-1178.2,128,196.571242
-1163.6,128,196.754812
-912.4,128,196.939767
-817.1,128,197.131879
-1017.5,128,197.329751
-1248.5,128,197.523106
-951.7,128,197.714446
-792.2,128,197.893754
-883.4,128,198.077666
-865.3,128,198.252339
-696.7,128,198.432252
-876.9,128,198.601796
-611.8,128,198.773452
-811.5,128,198.94417
-953.3,128,199.114733
-597.6,128,199.281201
-1056.7,128,199.457094
-643.8,128,199.627188
-683.7,128,199.80476
-791.2,128,199.973573
-822.4,128,200.148502
-844.2,128,200.316719
-687.0,128,200.482924
-858.8,128,200.659061
-1278.6,128,200.841532
-965.5,128,201.016979
-1431.8,128,201.199633
-1118.9,128,201.380911
-768.4,128,201.556165
-666.1,128,201.722154
-864.0,128,201.88965
-990.6,128,202.063534
-874.1,128,202.249196
-1047.1,128,202.432993
-1160.5,128,202.612378
-969.6,128,202.796613
-1199.4,128,202.988478
-2023.0,128,203.178424
-777.8,128,203.36599
-1790.1,128,203.554151
-1060.7,128,203.74565
-830.6,128,203.933432
-961.5,128,204.121245
-1071.1,128,204.309433
-996.1,128,204.504035
-1066.4,128,204.696676
-1027.3,128,204.888454
-640.8,128,205.085506
-1023.2,128,205.296911
-650.7,128,205.507539
-882.6,128,205.736494
-1048.3,128,205.967197
-1052.4,128,206.224479
-1055.9,128,206.490392
-887.3,128,206.753848
-817.4,128,207.012208
-1013.7,128,207.285403
-892.0,128,207.548357
-3067.5,128,207.8117
-3409.8,128,208.079269
-2537.7,128,208.352482
-1109.5,128,208.621493
-1669.9,128,208.886809
-1350.6,128,209.15109
-1611.1,128,209.427858
-1041.7,128,209.726944
-838.5,128,210.036714
-853.9,128,210.298004
-942.2,128,210.570429
-791.4,128,210.837271
-724.7,128,211.096808
-1220.0,128,211.357262
-780.0,128,211.624914
-396.0,128,211.885761
-775.3,128,212.141671
-493.3,128,212.399516
-475.5,128,212.665869
-205.7,128,212.923056
-491.8,128,213.187123
-410.5,128,213.445911
-519.4,128,213.713893
-933.4,128,213.975595
-446.4,128,214.235529
-233.0,128,214.497606
-282.0,128,214.783015
-424.0,128,215.045254
-451.1,128,215.301214
-563.6,128,215.588123
-443.0,128,215.85771
-560.3,128,216.11962
-616.2,128,216.379721
-245.3,128,216.639668
-439.2,128,216.904246
-253.1,128,217.163453
-325.9,128,217.423931
-1188.3,128,217.687685
-445.9,128,217.952034
-223.7,128,218.210147
-871.4,128,218.469097
-1021.2,128,218.731404
-602.3,128,218.999859
-1025.5,128,219.262331
-1849.1,128,219.528617
-1523.1,128,219.791459
-1850.2,128,220.0576
-1652.4,128,220.318071
-1248.4,128,220.575875
-2062.8,128,220.83901
-2601.7,128,221.1057
-2592.6,128,221.371509
-1633.5,128,221.630922
-994.4,128,221.89032
-1499.9,128,222.15474
-1865.2,128,222.41398
-675.0,128,222.670727
-1993.1,128,222.933911
-1506.1,128,223.199249
-625.4,128,223.460581
-616.9,128,223.722265
-807.5,128,223.98489
-1411.0,128,224.252793
-620.8,128,224.522786
-427.7,128,224.824926
-475.1,128,225.111103
-2342.5,128,225.381364
-624.2,128,225.650171
-547.5,128,225.922934
-215.3,128,226.190608
-631.6,128,226.458954
-537.5,128,226.726007
-396.3,128,226.993797
-408.8,128,227.260095
-588.8,128,227.523723
-726.2,128,227.785163
-873.2,128,228.052643
-444.7,128,228.313828
-1986.7,128,228.579908
-552.1,128,228.838322
-633.6,128,229.102271
-923.8,128,229.364353
-290.1,128,229.628828
-458.1,128,229.906686
-202.8,128,230.168874
-635.8,128,230.433314
-553.8,128,230.705074
-308.1,128,230.976014
-204.1,128,231.242347
-288.8,128,231.505714
-302.4,128,231.774783
-321.6,128,232.03782
-395.7,128,232.302476
-179.3,128,232.563949
-122.2,128,232.831057
-82.6,128,233.092523
-145.8,128,233.354302
-162.1,128,233.620543
-25.6,128,233.896936
-355.3,128,234.155398
-487.8,128,234.418657
-649.8,128,234.682061
-824.2,128,234.953136
-630.1,128,235.216043
-282.7,128,235.482099
-326.3,128,235.75544
-139.4,128,236.024737
-261.1,128,236.270537
-354.5,128,236.519158
-834.0,128,236.769577
-460.3,128,237.034184
-316.0,128,237.296102
-437.5,128,237.541462
-315.8,128,237.79182
-1029.0,128,238.044206
-507.5,128,238.298951
-784.4,128,238.552877
-490.7,128,238.81051
-194.0,128,239.07567
-203.3,128,239.341025
-280.8,128,239.603944
-566.9,128,239.910957
-127.1,128,240.177492
-565.6,128,240.418827
-896.9,128,240.653141
-849.5,128,240.885831
-277.4,128,241.113665
-718.4,128,241.332299
-797.7,128,241.553864
-807.4,128,241.784419
-712.3,128,242.025317
-885.3,128,242.270972
-1136.9,128,242.530248
-420.4,128,242.7902
-453.5,128,243.060403
-244.3,128,243.316989
-338.5,128,243.576456
-937.3,128,243.838418
-613.0,128,244.104559
-369.7,128,244.370803
-849.3,128,244.637583
-717.3,128,244.914779
-1035.1,128,245.191278
-650.3,128,245.461215
-716.6,128,245.744031
-675.7,128,246.011192
-972.1,128,246.285294
-445.0,128,246.547386
-701.6,128,246.812185
-568.6,128,247.074411
-889.7,128,247.344242
-660.2,128,247.609529
-399.7,128,247.874322
-636.3,128,248.136082
-877.3,128,248.403547
-332.1,128,248.662965
-876.8,128,248.927666
-1050.6,128,249.188924
-1159.7,128,249.46142
-735.9,128,249.721754
-549.6,128,249.983392
-1168.0,128,250.24839
-1111.1,128,250.524194
-673.4,128,250.792612
-466.4,128,251.05638
-776.2,128,251.316532
-434.1,128,251.583625
-878.6,128,251.846678
-819.5,128,252.107927
-501.7,128,252.363667
-988.1,128,252.633188
-711.3,128,252.895892
-537.2,128,253.157303
-359.8,128,253.418344
-746.2,128,253.670215
-1077.9,128,253.929602
-354.7,128,254.189512
-279.5,128,254.452273
-352.3,128,254.731927
-288.4,128,255.034402
-124.0,128,255.301759
-77.0,128,255.568512
-320.1,128,255.840489
-451.3,128,256.10676
-171.5,128,256.36921
-242.8,128,256.634387
-217.5,128,256.900803
